id_wad,award_year,wad_title,iwad,num_levels,single_player,cooperative,deathmatch,skill_levels,size_mb,download_url
0032,2007,Cheogsh,Doom 2,1,TRUE,FALSE,FALSE,TRUE,4.37,www.doomworld.com/idgames/levels/doom2/Ports/a-c/cheogsh
0033,2007,Songs of the Damned,Doom 2,1,TRUE,FALSE,FALSE,TRUE,0.95,www.doomworld.com/idgames/levels/doom2/Ports/s-u/songs
0034,2007,The Dying End,Doom 2,1,TRUE,FALSE,FALSE,TRUE,0.55,www.doomworld.com/idgames/levels/doom2/Ports/s-u/tde-lutz
0035,2007,Sine Die,Doom 2,2,TRUE,FALSE,FALSE,TRUE,2.36,www.doomworld.com/idgames/levels/doom2/Ports/s-u/sinedie
0036,2007,Knee Deep in ZDoom,Doom,10,TRUE,TRUE,FALSE,TRUE,23.07,www.doomworld.com/idgames/levels/doom/Ports/megawads/kdizd_12
0037,2007,Community Chest 3,Doom 2,32,TRUE,FALSE,FALSE,TRUE,12.32,www.doomworld.com/idgames/levels/doom2/Ports/megawads/cchest3
0038,2007,Epic,Doom 2,5,TRUE,FALSE,FALSE,TRUE,1.28,www.doomworld.com/idgames/levels/doom2/Ports/d-f/epic
0039,2007,Ultimate Torment & Torture,Doom 2,8,TRUE,TRUE,FALSE,TRUE,65.06,www.doomworld.com/idgames/levels/doom2/Ports/s-u/tutnt
0040,2007,The Outer Darkness,Doom,1,TRUE,TRUE,FALSE,TRUE,0.37,www.doomworld.com/idgames/levels/doom/Ports/m-o/odark
0041,2008,Deus Vult 2,Doom 2,11,TRUE,TRUE,FALSE,TRUE,75.74,www.doomworld.com/idgames/levels/doom2/Ports/d-f/dvii-1i
0042,2008,Gravity,Doom 2,2,TRUE,FALSE,FALSE,TRUE,1.28,www.doomworld.com/idgames/levels/doom2/Ports/g-i/gravity
0043,2008,Urban Brawl: Action Doom 2,(STANDALONE),9,TRUE,TRUE,FALSE,TRUE,56.9,https://www.doomworld.com/idgames/levels/doom2/Ports/a-c/action2
0044,2008,Eternal Doom IV,Doom 2,7,TRUE,TRUE,FALSE,TRUE,15.43,www.doomworld.com/idgames/themes/TeamTNT/ed4_rfo/ed4_rfo1
0045,2008,Thunderpeak,Doom 2,2,TRUE,FALSE,FALSE,TRUE,8.83,www.doomworld.com/idgames/levels/doom2/Ports/s-u/thunpeak
